,Date,Open,High,Low,Close,Volume
24865,2020-06-22 14:00:00,238.29000000,238.81000000,237.63000000,237.74000000,20305.88383000
24866,2020-06-22 15:00:00,237.77000000,241.68000000,237.74000000,241.49000000,48396.50775000
24867,2020-06-22 16:00:00,241.49000000,245.07000000,240.85000000,243.80000000,92837.94334000
24868,2020-06-22 17:00:00,243.85000000,244.86000000,243.26000000,244.51000000,35174.84271000
24869,2020-06-22 18:00:00,244.50000000,244.76000000,243.64000000,243.68000000,17349.14952000
24870,2020-06-22 19:00:00,243.68000000,244.29000000,242.20000000,242.36000000,28851.22708000
24871,2020-06-22 20:00:00,242.37000000,245.20000000,242.35000000,244.65000000,23305.76434000
24872,2020-06-22 21:00:00,244.67000000,246.89000000,242.85000000,243.02000000,41985.59085000
24873,2020-06-22 22:00:00,243.01000000,243.61000000,241.75000000,243.17000000,25817.72657000
24874,2020-06-22 23:00:00,243.19000000,243.62000000,242.59000000,243.13000000,15888.84372000
24875,2020-06-23 00:00:00,243.11000000,244.66000000,242.75000000,242.88000000,20839.23432000
24876,2020-06-23 01:00:00,242.87000000,243.30000000,240.75000000,242.11000000,41470.29100000
24877,2020-06-23 02:00:00,242.09000000,242.63000000,241.59000000,242.28000000,16572.01391000
24878,2020-06-23 03:00:00,242.26000000,242.88000000,241.60000000,242.72000000,10880.04043000
24879,2020-06-23 04:00:00,242.70000000,242.91000000,242.11000000,242.13000000,17744.15586000
24880,2020-06-23 05:00:00,242.12000000,242.30000000,241.46000000,241.69000000,14406.12514000
24881,2020-06-23 06:00:00,241.68000000,242.74000000,241.32000000,242.74000000,14252.48558000
24882,2020-06-23 07:00:00,242.74000000,244.49000000,242.56000000,244.15000000,28070.02802000
24883,2020-06-23 08:00:00,244.15000000,244.25000000,242.21000000,242.57000000,19039.63777000
24884,2020-06-23 09:00:00,242.57000000,243.18000000,241.97000000,242.94000000,15359.94860000
24885,2020-06-23 10:00:00,242.93000000,242.93000000,242.00000000,242.10000000,11980.02572000
24886,2020-06-23 11:00:00,242.10000000,243.77000000,242.02000000,243.37000000,17335.00061000
24887,2020-06-23 12:00:00,243.37000000,244.07000000,242.72000000,242.74000000,19459.39570000
24888,2020-06-23 13:00:00,242.74000000,242.86000000,241.32000000,242.67000000,30747.87690000
24889,2020-06-23 14:00:00,242.68000000,243.68000000,242.16000000,243.01000000,22898.31736000
24890,2020-06-23 15:00:00,243.01000000,244.40000000,242.64000000,244.40000000,25275.58351000
24891,2020-06-23 16:00:00,244.39000000,244.73000000,243.22000000,243.42000000,23357.79008000
24892,2020-06-23 17:00:00,243.44000000,244.00000000,242.75000000,243.90000000,15452.52310000
24893,2020-06-23 18:00:00,243.90000000,244.20000000,243.34000000,243.75000000,11757.85645000
24894,2020-06-23 19:00:00,243.75000000,244.87000000,243.67000000,243.73000000,20058.10923000
24895,2020-06-23 20:00:00,243.73000000,244.28000000,243.24000000,243.31000000,9609.67154000
24896,2020-06-23 21:00:00,243.31000000,244.06000000,242.55000000,243.97000000,9201.36419000
24897,2020-06-23 22:00:00,243.97000000,244.03000000,242.35000000,242.61000000,17105.43406000
24898,2020-06-23 23:00:00,242.60000000,243.23000000,242.38000000,243.14000000,9423.40569000
24899,2020-06-24 00:00:00,243.15000000,243.82000000,242.85000000,243.40000000,10251.42755000
24900,2020-06-24 01:00:00,243.40000000,243.92000000,242.88000000,243.73000000,8764.83679000
24901,2020-06-24 02:00:00,243.72000000,245.96000000,243.48000000,245.77000000,30525.53517000
24902,2020-06-24 03:00:00,245.80000000,245.87000000,244.54000000,245.41000000,22482.34871000
24903,2020-06-24 04:00:00,245.39000000,248.41000000,244.79000000,247.96000000,44738.38696000
24904,2020-06-24 05:00:00,247.95000000,249.24000000,247.27000000,248.28000000,29742.20526000
24905,2020-06-24 06:00:00,248.28000000,249.01000000,247.52000000,248.15000000,25792.70876000
24906,2020-06-24 07:00:00,248.15000000,248.46000000,242.03000000,242.41000000,108325.49697000
24907,2020-06-24 08:00:00,242.40000000,243.50000000,241.70000000,242.95000000,35318.64106000
24908,2020-06-24 09:00:00,242.93000000,243.21000000,242.14000000,242.87000000,22435.30694000
24909,2020-06-24 10:00:00,242.87000000,242.87000000,236.80000000,238.63000000,92621.22425000
24910,2020-06-24 11:00:00,238.62000000,239.85000000,238.03000000,238.06000000,44532.95442000
24911,2020-06-24 12:00:00,238.06000000,240.67000000,237.23000000,240.43000000,40442.29544000
